88    timeout      steps=-     states=20002    6.00s 
89    timeout      steps=-     states=18289    6.00s 
8     timeout      steps=-     states=42870    6.00s 
90    unsolvable   steps=-     states=1        0.00s 
91    timeout      steps=-     states=34359    6.00s 
92    timeout      steps=-     states=33634    6.00s 
93    timeout      steps=-     states=22096    6.00s 
94    unsolvable   steps=-     states=1        0.00s 
95    timeout      steps=-     states=28760    6.00s 
96    unsolvable   steps=-     states=1        0.00s 
97    timeout      steps=-     states=34783    6.00s 
98    unsolvable   steps=-     states=1        0.00s 
99    timeout      steps=-     states=16827    6.00s 
9     timeout      steps=-     states=58130    6.00s 

===== 阶段①基线: 共223 | 可解14 | 不可解49 | 未建模14 | 超时146 =====
